UnitNumber|UnitType|UnitPlan|Sqft|Floor
10809|1BR|1BR-L&A|1050|8
10909|1BR|1BR-L&A|1050|9
11009|1BR|1BR-L&A|1050|10
20109|1BR|1BR-L&A|1050|1
20209|1BR|1BR-L&A|1050|2
20309|1BR|1BR-L&A|1050|3
20409|1BR|1BR-L&A|1050|4
20509|1BR|1BR-L&A|1050|5
20609|1BR|1BR-L&A|1050|6
20709|1BR|1BR-L&A|1050|7
20809|1BR|1BR-L&A|1050|8
20909|1BR|1BR-L&A|1050|9
21009|1BR|1BR-L&A|1050|10
30109|1BR|1BR-L&A|1050|1
30209|1BR|1BR-L&A|1050|2
30309|1BR|1BR-L&A|1050|3
30409|1BR|1BR-L&A|1050|4
30509|1BR|1BR-L&A|1050|5
30609|1BR|1BR-L&A|1050|6
30709|1BR|1BR-L&A|1050|7
30809|1BR|1BR-L&A|1050|8
30909|1BR|1BR-L&A|1050|9
31009|1BR|1BR-L&A|1050|10
40109|1BR|1BR-L&A|1050|1
40209|1BR|1BR-L&A|1050|2
40309|1BR|1BR-L&A|1050|3
40409|1BR|1BR-L&A|1050|4
40509|1BR|1BR-L&A|1050|5
40609|1BR|1BR-L&A|1050|6
40709|1BR|1BR-L&A|1050|7
40809|1BR|1BR-L&A|1050|8
40909|1BR|1BR-L&A|1050|9
41009|1BR|1BR-L&A|1050|10
50109|1BR|1BR-L&A|1050|1
50209|1BR|1BR-L&A|1050|2
50309|1BR|1BR-L&A|1050|3
50409|1BR|1BR-L&A|1050|4
50509|1BR|1BR-L&A|1050|5
50609|1BR|1BR-L&A|1050|6
50709|1BR|1BR-L&A|1050|7
50809|1BR|1BR-L&A|1050|8
50909|1BR|1BR-L&A|1050|9
51009|1BR|1BR-L&A|1050|10
60109|1BR|1BR-L&A|1050|1
60209|1BR|1BR-L&A|1050|2
60309|1BR|1BR-L&A|1050|3
60409|1BR|1BR-L&A|1050|4
60509|1BR|1BR-L&A|1050|5
60609|1BR|1BR-L&A|1050|6
60709|1BR|1BR-L&A|1050|7
60809|1BR|1BR-L&A|1050|8
60909|1BR|1BR-L&A|1050|9
61009|1BR|1BR-L&A|1050|10
70109|1BR|1BR-L&A|1050|1
70209|1BR|1BR-L&A|1050|2
70309|1BR|1BR-L&A|1050|3
70409|1BR|1BR-L&A|1050|4
70509|1BR|1BR-L&A|1050|5
70609|1BR|1BR-L&A|1050|6
70709|1BR|1BR-L&A|1050|7
70809|1BR|1BR-L&A|1050|8
70909|1BR|1BR-L&A|1050|9
71009|1BR|1BR-L&A|1050|10
80109|1BR|1BR-L&A|1050|1
80209|1BR|1BR-L&A|1050|2
80309|1BR|1BR-L&A|1050|3
80409|1BR|1BR-L&A|1050|4
80509|1BR|1BR-L&A|1050|5
80609|1BR|1BR-L&A|1050|6
80709|1BR|1BR-L&A|1050|7
80809|1BR|1BR-L&A|1050|8
80909|1BR|1BR-L&A|1050|9
81009|1BR|1BR-L&A|1050|10
90109|1BR|1BR-L&A|1050|1
90209|1BR|1BR-L&A|1050|2
90309|1BR|1BR-L&A|1050|3
90409|1BR|1BR-L&A|1050|4
90509|1BR|1BR-L&A|1050|5
90609|1BR|1BR-L&A|1050|6
90709|1BR|1BR-L&A|1050|7
90809|1BR|1BR-L&A|1050|8
90909|1BR|1BR-L&A|1050|9
91009|1BR|1BR-L&A|1050|10
100109|1BR|1BR-L&A|1050|1
100209|1BR|1BR-L&A|1050|2
100309|1BR|1BR-L&A|1050|3
100409|1BR|1BR-L&A|1050|4
100509|1BR|1BR-L&A|1050|5
100609|1BR|1BR-L&A|1050|6
100709|1BR|1BR-L&A|1050|7
100809|1BR|1BR-L&A|1050|8
100909|1BR|1BR-L&A|1050|9
101009|1BR|1BR-L&A|1050|10
10110|1BR|1BR-L&B|1050|1
10210|1BR|1BR-L&B|1050|2
10310|1BR|1BR-L&B|1050|3
10410|1BR|1BR-L&B|1050|4
10510|1BR|1BR-L&B|1050|5
10610|1BR|1BR-L&B|1050|6
10710|1BR|1BR-L&B|1050|7
10810|1BR|1BR-L&B|1050|8
10910|1BR|1BR-L&B|1050|9
11010|1BR|1BR-L&B|1050|10
20110|1BR|1BR-L&B|1050|1
20210|1BR|1BR-L&B|1050|2
20310|1BR|1BR-L&B|1050|3
20410|1BR|1BR-L&B|1050|4
20510|1BR|1BR-L&B|1050|5
20610|1BR|1BR-L&B|1050|6
20710|1BR|1BR-L&B|1050|7
20810|1BR|1BR-L&B|1050|8
20910|1BR|1BR-L&B|1050|9
21010|1BR|1BR-L&B|1050|10
30110|1BR|1BR-L&B|1050|1
30210|1BR|1BR-L&B|1050|2
30310|1BR|1BR-L&B|1050|3
30410|1BR|1BR-L&B|1050|4
30510|1BR|1BR-L&B|1050|5
30610|1BR|1BR-L&B|1050|6
30710|1BR|1BR-L&B|1050|7
30810|1BR|1BR-L&B|1050|8
30910|1BR|1BR-L&B|1050|9
31010|1BR|1BR-L&B|1050|10
40110|1BR|1BR-L&B|1050|1
40210|1BR|1BR-L&B|1050|2
40310|1BR|1BR-L&B|1050|3
40410|1BR|1BR-L&B|1050|4
40510|1BR|1BR-L&B|1050|5
40610|1BR|1BR-L&B|1050|6
40710|1BR|1BR-L&B|1050|7
40810|1BR|1BR-L&B|1050|8
40910|1BR|1BR-L&B|1050|9
41010|1BR|1BR-L&B|1050|10
50110|1BR|1BR-L&B|1050|1
50210|1BR|1BR-L&B|1050|2
50310|1BR|1BR-L&B|1050|3
50410|1BR|1BR-L&B|1050|4
50510|1BR|1BR-L&B|1050|5
50610|1BR|1BR-L&B|1050|6
50710|1BR|1BR-L&B|1050|7
50810|1BR|1BR-L&B|1050|8
50910|1BR|1BR-L&B|1050|9
51010|1BR|1BR-L&B|1050|10
60110|1BR|1BR-L&B|1050|1
60210|1BR|1BR-L&B|1050|2
60310|1BR|1BR-L&B|1050|3
60410|1BR|1BR-L&B|1050|4
60510|1BR|1BR-L&B|1050|5
60610|1BR|1BR-L&B|1050|6
60710|1BR|1BR-L&B|1050|7
60810|1BR|1BR-L&B|1050|8
60910|1BR|1BR-L&B|1050|9
61010|1BR|1BR-L&B|1050|10
70110|1BR|1BR-L&B|1050|1
70210|1BR|1BR-L&B|1050|2
70310|1BR|1BR-L&B|1050|3
70410|1BR|1BR-L&B|1050|4
70510|1BR|1BR-L&B|1050|5
70610|1BR|1BR-L&B|1050|6
70710|1BR|1BR-L&B|1050|7
70810|1BR|1BR-L&B|1050|8
70910|1BR|1BR-L&B|1050|9
71010|1BR|1BR-L&B|1050|10
80110|1BR|1BR-L&B|1050|1
80210|1BR|1BR-L&B|1050|2
80310|1BR|1BR-L&B|1050|3
80410|1BR|1BR-L&B|1050|4
80510|1BR|1BR-L&B|1050|5
80610|1BR|1BR-L&B|1050|6
80710|1BR|1BR-L&B|1050|7
80810|1BR|1BR-L&B|1050|8
80910|1BR|1BR-L&B|1050|9
81010|1BR|1BR-L&B|1050|10
90110|1BR|1BR-L&B|1050|1
90210|1BR|1BR-L&B|1050|2
90310|1BR|1BR-L&B|1050|3
90410|1BR|1BR-L&B|1050|4
90510|1BR|1BR-L&B|1050|5
90610|1BR|1BR-L&B|1050|6
90710|1BR|1BR-L&B|1050|7
90810|1BR|1BR-L&B|1050|8
90910|1BR|1BR-L&B|1050|9
91010|1BR|1BR-L&B|1050|10
100110|1BR|1BR-L&B|1050|1
100210|1BR|1BR-L&B|1050|2
100310|1BR|1BR-L&B|1050|3
100410|1BR|1BR-L&B|1050|4
100510|1BR|1BR-L&B|1050|5
100610|1BR|1BR-L&B|1050|6
100710|1BR|1BR-L&B|1050|7
100810|1BR|1BR-L&B|1050|8
100910|1BR|1BR-L&B|1050|9
101010|1BR|1BR-L&B|1050|10
10111|2BR|2BR-S|1250|1
10211|2BR|2BR-S|1250|2
10311|2BR|2BR-S|1250|3
10411|2BR|2BR-S|1250|4
10511|2BR|2BR-S|1250|5
10611|2BR|2BR-S|1250|6
10711|2BR|2BR-S|1250|7
10811|2BR|2BR-S|1250|8
10911|2BR|2BR-S|1250|9
11011|2BR|2BR-S|1250|10
20111|2BR|2BR-S|1250|1
20211|2BR|2BR-S|1250|2
20311|2BR|2BR-S|1250|3
20411|2BR|2BR-S|1250|4
20511|2BR|2BR-S|1250|5
20611|2BR|2BR-S|1250|6
20711|2BR|2BR-S|1250|7
20811|2BR|2BR-S|1250|8
20911|2BR|2BR-S|1250|9
21011|2BR|2BR-S|1250|10
30111|2BR|2BR-S|1250|1
30211|2BR|2BR-S|1250|2
30311|2BR|2BR-S|1250|3
30411|2BR|2BR-S|1250|4
30511|2BR|2BR-S|1250|5
30611|2BR|2BR-S|1250|6
30711|2BR|2BR-S|1250|7
30811|2BR|2BR-S|1250|8
30911|2BR|2BR-S|1250|9
31011|2BR|2BR-S|1250|10
40111|2BR|2BR-S|1250|1
40211|2BR|2BR-S|1250|2
40311|2BR|2BR-S|1250|3
40411|2BR|2BR-S|1250|4
40511|2BR|2BR-S|1250|5
40611|2BR|2BR-S|1250|6
40711|2BR|2BR-S|1250|7
40811|2BR|2BR-S|1250|8
40911|2BR|2BR-S|1250|9
41011|2BR|2BR-S|1250|10
50111|2BR|2BR-S|1250|1
50211|2BR|2BR-S|1250|2
50311|2BR|2BR-S|1250|3
50411|2BR|2BR-S|1250|4
50511|2BR|2BR-S|1250|5
50611|2BR|2BR-S|1250|6
50711|2BR|2BR-S|1250|7
50811|2BR|2BR-S|1250|8
50911|2BR|2BR-S|1250|9
51011|2BR|2BR-S|1250|10
60111|2BR|2BR-S|1250|1
60211|2BR|2BR-S|1250|2
60311|2BR|2BR-S|1250|3
60411|2BR|2BR-S|1250|4
60511|2BR|2BR-S|1250|5
60611|2BR|2BR-S|1250|6
60711|2BR|2BR-S|1250|7
60811|2BR|2BR-S|1250|8
60911|2BR|2BR-S|1250|9
61011|2BR|2BR-S|1250|10
70111|2BR|2BR-S|1250|1
70211|2BR|2BR-S|1250|2
70311|2BR|2BR-S|1250|3
70411|2BR|2BR-S|1250|4
70511|2BR|2BR-S|1250|5
70611|2BR|2BR-S|1250|6
70711|2BR|2BR-S|1250|7
70811|2BR|2BR-S|1250|8
70911|2BR|2BR-S|1250|9
71011|2BR|2BR-S|1250|10
80111|2BR|2BR-S|1250|1
80211|2BR|2BR-S|1250|2
80311|2BR|2BR-S|1250|3
80411|2BR|2BR-S|1250|4
80511|2BR|2BR-S|1250|5
80611|2BR|2BR-S|1250|6
80711|2BR|2BR-S|1250|7
80811|2BR|2BR-S|1250|8
80911|2BR|2BR-S|1250|9
81011|2BR|2BR-S|1250|10
90111|2BR|2BR-S|1250|1
90211|2BR|2BR-S|1250|2
90311|2BR|2BR-S|1250|3
90411|2BR|2BR-S|1250|4
90511|2BR|2BR-S|1250|5
90611|2BR|2BR-S|1250|6
90711|2BR|2BR-S|1250|7
90811|2BR|2BR-S|1250|8
90911|2BR|2BR-S|1250|9
91011|2BR|2BR-S|1250|10
100111|2BR|2BR-S|1250|1
100211|2BR|2BR-S|1250|2
100311|2BR|2BR-S|1250|3
100411|2BR|2BR-S|1250|4
100511|2BR|2BR-S|1250|5
100611|2BR|2BR-S|1250|6
100711|2BR|2BR-S|1250|7
100811|2BR|2BR-S|1250|8
100911|2BR|2BR-S|1250|9
101011|2BR|2BR-S|1250|10
