LeaseNo|CustomerNo|UnitNumber|StartDate|EndDate
14284|3486|60401|10/3/2012|10/3/2013
14285|3505|80501|10/22/2012|10/22/2013
14286|3513|90501|10/20/2012|10/20/2013
14287|3537|20202|10/20/2012|10/20/2013
14288|3572|60202|10/13/2012|10/13/2013
14289|3587|71002|10/19/2012|10/19/2013
14290|3601|90402|10/11/2012|10/11/2013
14291|3605|90802|10/3/2012|10/3/2013
14292|3622|10503|10/9/2012|10/9/2013
14293|3630|20303|10/10/2012|10/10/2013
14294|3642|30803|10/17/2012|10/17/2013
14295|3650|40603|10/28/2012|10/28/2013
14296|3667|60603|10/14/2012|10/14/2013
14297|3709|10104|10/18/2012|10/18/2013
14298|3741|40804|10/30/2012|10/30/2013
14299|3744|50204|11/1/2012|11/1/2012
14300|3750|50804|10/18/2012|10/18/2013
14301|3777|80604|10/3/2012|10/3/2013
14302|3791|91004|10/12/2012|10/12/2013
14303|3859|70605|10/3/2012|10/3/2013
14304|3870|80705|10/27/2012|10/27/2013
14305|3880|90705|10/25/2012|10/25/2013
14306|3883|91005|10/9/2012|10/9/2013
14307|3929|41006|10/30/2012|10/30/2013
14308|3949|61006|10/5/2012|10/5/2013
14309|3984|100906|10/10/2012|10/10/2013
14310|4036|60207|10/11/2012|10/11/2013
14311|4060|80807|10/4/2012|10/4/2013
14312|4091|20108|10/10/2012|10/10/2013
14313|4110|31008|10/30/2012|10/30/2013
14314|4136|61008|10/2/2012|10/2/2013
14315|4144|70808|10/27/2012|10/27/2013
14316|4170|100908|10/14/2012|10/14/2013
14317|4217|51009|10/27/2012|10/27/2013
14318|4218|60109|10/2/2012|10/2/2013
14319|4224|60909|10/11/2012|10/11/2013
14320|4248|90409|10/21/2012|10/21/2013
14321|4288|40110|10/9/2012|10/9/2013
14322|4407|70311|10/20/2012|10/20/2013
14323|4429|90811|10/12/2012|10/12/2013
14324|4440|100911|10/9/2012|10/9/2013
14325|5867|10410|10/1/2012|10/1/2013
14326|5868|40510|10/1/2012|10/1/2013
14327|5871|20203|10/1/2012|10/1/2013
14328|5878|10405|10/1/2012|10/1/2013
14329|5879|10806|10/1/2012|10/1/2013
14330|5880|50106|10/1/2012|10/1/2013
14331|5882|10109|10/1/2012|10/1/2013
14332|5888|10901|10/1/2012|10/1/2013
14333|5889|40609|10/1/2012|10/1/2013
14334|5891|60104|10/1/2012|10/1/2013
14335|5893|40105|10/1/2012|10/1/2013
14336|5900|30903|10/1/2012|10/1/2013
14337|5903|60110|10/1/2012|10/1/2013
14338|5904|70110|10/1/2012|10/1/2013
14339|5907|40203|10/1/2012|10/1/2013
14340|5909|20201|10/1/2012|10/1/2013
14341|5912|50606|10/1/2012|10/1/2013
14342|5914|50906|10/1/2012|10/1/2013
14343|5918|10111|10/1/2012|10/1/2013
14344|5921|40511|10/1/2012|10/1/2013
14345|5923|70504|10/1/2012|10/1/2013
14346|5924|80810|10/1/2012|10/1/2013
14347|5933|40702|10/1/2012|10/1/2013
14348|5934|50811|10/1/2012|10/1/2013
14349|5938|80103|10/1/2012|10/1/2013
14350|5939|90206|10/1/2012|10/1/2013
14351|5942|10707|10/1/2012|10/1/2013
14352|5946|50209|10/1/2012|10/1/2013
14353|5951|50409|10/1/2012|10/1/2013
14354|5959|70102|10/1/2012|10/1/2013
14355|5961|40201|10/1/2012|10/1/2013
14356|5962|40805|10/1/2012|10/1/2013
14357|5964|20907|10/1/2012|10/1/2013
14358|5966|30307|10/1/2012|10/1/2013
14359|5969|40308|10/1/2012|10/1/2013
14360|5970|70109|10/1/2012|10/1/2013
14361|5972|70309|10/1/2012|10/1/2013
14362|5980|90410|10/1/2012|10/1/2013
14363|5981|100602|10/1/2012|10/1/2013
14364|5994|60307|10/1/2012|10/1/2013
14365|5995|50105|10/1/2012|10/1/2013
14366|3476|50401|11/30/2012|11/30/2013
14367|3504|80401|11/13/2012|11/13/2013
14368|3523|100801|11/17/2012|11/17/2013
14369|3546|30302|11/17/2012|11/17/2013
14370|3585|70802|11/4/2012|11/4/2013
14371|3608|100102|11/19/2012|11/19/2013
14372|3615|100802|11/21/2012|11/21/2013
14373|3618|10103|12/1/2012|12/1/2012
14374|3679|70903|11/26/2012|11/26/2013
14375|3688|80803|11/15/2012|11/15/2013
14376|3698|90903|11/22/2012|11/22/2013
14377|3701|100303|11/13/2012|11/13/2013
14378|3734|31004|11/17/2012|11/17/2013
14379|3755|60304|11/19/2012|11/19/2013
14380|3778|80704|11/3/2012|11/3/2013
14381|3858|70505|11/24/2012|11/24/2013
14382|3879|90605|11/4/2012|11/4/2013
14383|3896|10406|11/17/2012|11/17/2013
14384|3913|30206|11/15/2012|11/15/2013
14385|3957|70806|11/17/2012|11/17/2013
14386|4199|31009|11/18/2012|11/18/2013
14387|4222|60709|11/25/2012|11/25/2013
14388|4280|30110|11/11/2012|11/11/2013
14389|4321|70810|11/11/2012|11/11/2013
14390|4328|80710|11/22/2012|11/22/2013
14391|4354|10711|11/22/2012|11/22/2013
14392|4404|61011|11/2/2012|11/2/2013
14393|4435|100411|11/25/2012|11/25/2013
14394|4439|100811|11/28/2012|11/28/2013
14395|3744|50204|11/2/2012|11/2/2013
14396|5999|10507|11/1/2012|11/1/2013
14397|6000|50405|11/1/2012|11/1/2013
14398|6006|10611|11/1/2012|11/1/2013
14399|6007|21011|11/1/2012|11/1/2013
14400|6008|30904|11/1/2012|11/1/2013
14401|6013|51005|11/1/2012|11/1/2013
14402|6014|40304|11/1/2012|11/1/2013
14403|6017|10606|11/1/2012|11/1/2013
14404|6019|10608|11/1/2012|11/1/2013
14405|6025|20707|11/1/2012|11/1/2013
14406|6034|70609|11/1/2012|11/1/2013
14407|6035|60105|11/1/2012|11/1/2013
14408|6036|20206|11/1/2012|11/1/2013
14409|6040|20401|11/1/2012|11/1/2013
14410|6042|20403|11/1/2012|11/1/2013
14411|6045|30203|11/1/2012|11/1/2013
14412|6046|30301|11/1/2012|11/1/2013
14413|6048|30107|11/1/2012|11/1/2013
14414|6052|60404|11/1/2012|11/1/2013
14415|6054|40803|11/1/2012|11/1/2013
14416|6055|70904|11/1/2012|11/1/2013
14417|6056|60407|11/1/2012|11/1/2013
14418|6058|50806|11/1/2012|11/1/2013
14419|6071|70907|11/1/2012|11/1/2013
14420|6073|10908|11/1/2012|11/1/2013
14421|6074|41008|11/1/2012|11/1/2013
14422|6075|80909|11/1/2012|11/1/2013
14423|6077|30801|11/1/2012|11/1/2013
14424|6079|80707|11/1/2012|11/1/2013
14425|6083|10510|11/1/2012|11/1/2013
14426|6084|70706|11/1/2012|11/1/2013
14427|6088|60511|11/1/2012|11/1/2013
14428|6090|70611|11/1/2012|11/1/2013
14429|6092|80111|11/1/2012|11/1/2013
14430|6094|60905|11/1/2012|11/1/2013
14431|6096|40301|11/1/2012|11/1/2013
14432|6097|81007|11/1/2012|11/1/2013
14433|6099|20710|11/1/2012|11/1/2013
14434|6100|81009|11/1/2012|11/1/2013
14435|6101|90407|11/1/2012|11/1/2013
14436|6102|61005|11/1/2012|11/1/2013
14437|6103|100307|11/1/2012|11/1/2013
14438|6104|50203|11/1/2012|11/1/2013
14439|6105|80304|11/1/2012|11/1/2013
14440|6109|80110|11/1/2012|11/1/2013
14441|6110|90309|11/1/2012|11/1/2013
14442|3540|20502|12/11/2012|12/11/2013
14443|3834|40905|12/27/2012|12/27/2013
14444|4126|50908|12/30/2012|12/30/2013
14445|4186|20509|12/3/2012|12/3/2013
14446|4269|10710|12/15/2012|12/15/2013
14447|4342|100510|12/24/2012|12/24/2013
14448|4381|40611|12/15/2012|12/15/2013
14449|4420|80911|12/27/2012|12/27/2013
14450|4432|100111|12/16/2012|12/16/2013
14451|4445|20709|12/2/2012|12/2/2013
14452|4446|21002|12/2/2012|12/2/2013
14453|4455|20310|12/2/2012|12/2/2013
14454|4456|21010|12/2/2012|12/2/2013
14455|4465|20503|12/2/2012|12/2/2013
14456|4476|20803|12/2/2012|12/2/2013
14457|4478|30510|12/2/2012|12/2/2013
14458|4481|10505|12/2/2012|12/2/2013
14459|4489|40408|12/2/2012|12/2/2013
14460|4491|30702|12/2/2012|12/2/2013
14461|4495|40402|12/2/2012|12/2/2013
14462|4514|60907|12/2/2012|12/2/2013
14463|4521|40703|12/2/2012|12/2/2013
14464|4522|80901|12/2/2012|12/2/2013
14465|4523|20404|12/2/2012|12/2/2013
14466|4531|70807|12/2/2012|12/2/2013
14467|4533|100207|12/2/2012|12/2/2013
14468|4545|31005|12/2/2012|12/2/2013
14469|4547|50802|12/2/2012|12/2/2013
14470|4549|51003|12/2/2012|12/2/2013
14471|4551|40605|12/2/2012|12/2/2013
14472|6117|80504|12/1/2012|12/1/2013
14473|6118|10106|12/1/2012|12/1/2013
14474|6120|40801|12/1/2012|12/1/2013
14475|6122|11002|12/1/2012|12/1/2013
14476|6126|10607|12/1/2012|12/1/2013
14477|6143|40108|12/1/2012|12/1/2013
14478|6144|10105|12/1/2012|12/1/2013
14479|6146|50208|12/1/2012|12/1/2013
14480|6148|20405|12/1/2012|12/1/2013
14481|6152|50807|12/1/2012|12/1/2013
14482|6162|90204|12/1/2012|12/1/2013
14483|6164|90304|12/1/2012|12/1/2013
14484|6169|70207|12/1/2012|12/1/2013
14485|6170|30802|12/1/2012|12/1/2013
14486|6172|70408|12/1/2012|12/1/2013
14487|6173|11003|12/1/2012|12/1/2013
14488|6179|90404|12/1/2012|12/1/2013
14489|6181|11006|12/1/2012|12/1/2013
14490|6183|30311|12/1/2012|12/1/2013
14491|6186|80307|12/1/2012|12/1/2013
14492|6188|90504|12/1/2012|12/1/2013
14493|6191|50703|12/1/2012|12/1/2013
14494|6193|40310|12/1/2012|12/1/2013
14495|6196|60210|12/1/2012|12/1/2013
14496|6197|70610|12/1/2012|12/1/2013
14497|6198|61003|12/1/2012|12/1/2013
14498|6202|90509|12/1/2012|12/1/2013
14499|6205|30411|12/1/2012|12/1/2013
14500|6208|50602|12/1/2012|12/1/2013
14501|6209|50501|12/1/2012|12/1/2013
14502|6213|60602|12/1/2012|12/1/2013
14503|6214|40706|12/1/2012|12/1/2013
14504|6217|90610|12/1/2012|12/1/2013
14505|6218|90609|12/1/2012|12/1/2013
14506|6222|70103|12/1/2012|12/1/2013
14507|3437|10501|1/4/2013|1/4/2014
14508|3685|80503|1/16/2013|1/16/2014
14509|3689|80903|1/6/2013|1/6/2014
14510|3748|50604|1/23/2013|1/23/2014
14511|3792|100104|1/6/2013|1/6/2014
14512|3889|100605|1/26/2013|1/26/2014
14513|3906|20506|1/8/2013|1/8/2014
14514|3940|60106|1/25/2013|1/25/2014
14515|3950|70106|1/16/2013|1/16/2014
14516|4027|50307|1/15/2013|1/15/2014
14517|4095|20508|1/4/2013|1/4/2014
14518|4152|80908|1/12/2013|1/12/2014
14519|4213|50609|1/5/2013|1/5/2014
14520|4565|20210|1/2/2013|1/2/2014
14521|4574|50511|1/2/2013|1/2/2014
14522|4578|20501|1/2/2013|1/2/2014
14523|4583|10209|1/2/2013|1/2/2014
14524|4584|20306|1/2/2013|1/2/2014
14525|4585|10303|1/2/2013|1/2/2014
14526|4592|30806|1/2/2013|1/2/2014
14527|4596|50910|1/2/2013|1/2/2014
14528|4598|60811|1/2/2013|1/2/2014
14529|4605|100507|1/2/2013|1/2/2014
14530|4608|50508|1/2/2013|1/2/2014
14531|4609|40506|1/2/2013|1/2/2014
14532|4617|11009|1/2/2013|1/2/2014
14533|4619|40401|1/2/2013|1/2/2014
14534|4631|40806|1/2/2013|1/2/2014
14535|4632|60408|1/2/2013|1/2/2014
14536|4634|70310|1/2/2013|1/2/2014
14537|4643|50905|1/2/2013|1/2/2014
14538|4647|30303|1/2/2013|1/2/2014
14539|4662|60708|1/2/2013|1/2/2014
14540|6229|10306|1/1/2013|1/1/2014
14541|6230|10101|1/1/2013|1/1/2014
14542|6231|10902|1/1/2013|1/1/2014
14543|6232|20409|1/1/2013|1/1/2014
14544|6233|90709|1/1/2013|1/1/2014
14545|6234|90909|1/1/2013|1/1/2014
14546|6239|20606|1/1/2013|1/1/2014
14547|6244|10205|1/1/2013|1/1/2014
14548|6264|10401|1/1/2013|1/1/2014
14549|6266|10810|1/1/2013|1/1/2014
14550|6269|20605|1/1/2013|1/1/2014
14551|6270|50108|1/1/2013|1/1/2014
14552|6273|20911|1/1/2013|1/1/2014
14553|6275|50101|1/1/2013|1/1/2014
14554|6282|30102|1/1/2013|1/1/2014
14555|6289|20704|1/1/2013|1/1/2014
14556|6290|80706|1/1/2013|1/1/2014
14557|6292|100109|1/1/2013|1/1/2014
14558|6295|20507|1/1/2013|1/1/2014
14559|6296|70105|1/1/2013|1/1/2014
14560|6300|80906|1/1/2013|1/1/2014
14561|6302|100209|1/1/2013|1/1/2014
14562|6304|21004|1/1/2013|1/1/2014
14563|6306|80108|1/1/2013|1/1/2014
14564|6309|70705|1/1/2013|1/1/2014
14565|6310|80605|1/1/2013|1/1/2014
14566|6312|80805|1/1/2013|1/1/2014
14567|6315|60101|1/1/2013|1/1/2014
14568|6316|80708|1/1/2013|1/1/2014
14569|6321|41004|1/1/2013|1/1/2014
14570|6324|81005|1/1/2013|1/1/2014
14571|6325|90108|1/1/2013|1/1/2014
14572|6326|90205|1/1/2013|1/1/2014
14573|6332|71007|1/1/2013|1/1/2014
14574|6335|30610|1/1/2013|1/1/2014
14575|6336|80207|1/1/2013|1/1/2014
14576|3439|10701|2/14/2013|2/14/2014
14577|3479|50701|2/27/2013|2/27/2014
14578|3500|70901|2/21/2013|2/21/2014
14579|3536|20102|2/4/2013|2/4/2014
14580|3543|20802|2/9/2013|2/9/2014
14581|3573|60302|2/12/2013|2/12/2014
14582|3647|40303|2/15/2013|2/15/2014
14583|3843|50805|2/28/2013|2/28/2014
14584|3855|70205|2/28/2013|2/28/2014
14585|4028|50407|2/8/2013|2/8/2014
14586|4241|80709|2/21/2013|2/21/2014
14587|4252|90809|2/11/2013|2/11/2014
14588|4263|10110|2/13/2013|2/13/2014
14589|4293|40610|2/28/2013|2/28/2014
14590|4317|70210|2/16/2013|2/16/2014
14591|4427|90611|2/9/2013|2/9/2014
14592|4118|40908|2/3/2013|2/3/2014
14593|4671|30710|2/2/2013|2/2/2014
14594|4681|10504|2/2/2013|2/2/2014
14595|4685|50907|2/2/2013|2/2/2014
14596|4688|50110|2/2/2013|2/2/2014
14597|4691|41001|2/2/2013|2/2/2014
14598|4701|50510|2/2/2013|2/2/2014
14599|4703|30506|2/2/2013|2/2/2014
14600|4718|51006|2/2/2013|2/2/2014
14601|4726|80107|2/2/2013|2/2/2014
14602|4738|30504|2/2/2013|2/2/2014
14603|4748|80106|2/2/2013|2/2/2014
14604|4753|50104|2/2/2013|2/2/2014
14605|4754|80406|2/2/2013|2/2/2014
14606|6340|10811|2/1/2013|2/1/2014
14607|6343|10404|2/1/2013|2/1/2014
14608|6344|61001|2/1/2013|2/1/2014
14609|6346|31011|2/1/2013|2/1/2014
14610|6347|50704|2/1/2013|2/1/2014
14611|6354|10506|2/1/2013|2/1/2014
14612|6358|10509|2/1/2013|2/1/2014
14613|6365|90607|2/1/2013|2/1/2014
14614|6370|70101|2/1/2013|2/1/2014
14615|6374|100607|2/1/2013|2/1/2014
14616|6375|100907|2/1/2013|2/1/2014
14617|6378|20309|2/1/2013|2/1/2014
14618|6379|40711|2/1/2013|2/1/2014
14619|6386|30910|2/1/2013|2/1/2014
14620|6388|90604|2/1/2013|2/1/2014
14621|6391|60310|2/1/2013|2/1/2014
14622|6394|71001|2/1/2013|2/1/2014
14623|6397|10502|2/1/2013|2/1/2014
14624|6401|60610|2/1/2013|2/1/2014
14625|6402|50308|2/1/2013|2/1/2014
14626|6403|90308|2/1/2013|2/1/2014
14627|6405|60211|2/1/2013|2/1/2014
14628|6408|90408|2/1/2013|2/1/2014
14629|6409|90210|2/1/2013|2/1/2014
14630|6410|101007|2/1/2013|2/1/2014
14631|6411|30909|2/1/2013|2/1/2014
14632|6412|10905|2/1/2013|2/1/2014
14633|6417|40209|2/1/2013|2/1/2014
14634|6418|40705|2/1/2013|2/1/2014
14635|6419|90305|2/1/2013|2/1/2014
14636|6428|30606|2/1/2013|2/1/2014
14637|6434|40406|2/1/2013|2/1/2014
14638|6437|100309|2/1/2013|2/1/2014
14639|6440|100509|2/1/2013|2/1/2014
14640|6448|10802|2/1/2013|2/1/2014
14641|6453|70406|2/1/2013|2/1/2014
14642|6454|30502|2/1/2013|2/1/2014
14643|3690|81003|3/13/2013|3/13/2014
14644|3703|100503|4/1/2013|4/1/2013
14645|3752|51004|4/1/2013|4/1/2013
14646|3781|81004|3/11/2013|3/11/2014
14647|3818|21005|3/30/2013|3/30/2014
14648|3827|30905|3/29/2013|3/29/2014
14649|3914|30306|3/27/2013|3/27/2014
14650|3931|50206|3/6/2013|3/6/2014
14651|3942|60306|3/30/2013|3/30/2014
14652|3962|80506|3/11/2013|3/11/2014
14653|4015|40107|3/23/2013|3/23/2014
14654|4029|50507|3/16/2013|3/16/2014
14655|4030|50607|3/21/2013|3/21/2014
14656|4063|90107|4/1/2013|4/1/2013
14657|4141|70508|3/3/2013|3/3/2014
14658|4155|90208|3/16/2013|3/16/2014
14659|4187|20609|3/4/2013|3/4/2014
14660|4191|30109|3/20/2013|3/20/2014
14661|4260|100809|3/23/2013|3/23/2014
14662|4268|10610|3/29/2013|3/29/2014
14663|4297|41010|3/9/2013|3/9/2014
14664|4426|90511|3/10/2013|3/10/2014
14665|4785|50709|3/2/2013|3/2/2014
14666|4797|50205|3/2/2013|3/2/2014
14667|4798|10108|3/2/2013|3/2/2014
14668|4805|41007|3/2/2013|3/2/2014
14669|4806|60609|3/2/2013|3/2/2014
14670|4813|10604|3/2/2013|3/2/2014
14671|4817|30108|3/2/2013|3/2/2014
14672|4831|60706|3/2/2013|3/2/2014
14673|4847|50311|3/2/2013|3/2/2014
14674|4848|70910|3/2/2013|3/2/2014
14675|4858|61009|3/2/2013|3/2/2014
14676|4861|70409|3/2/2013|3/2/2014
14677|4863|30103|3/2/2013|3/2/2014
14678|4865|70604|3/2/2013|3/2/2014
14679|4870|60705|3/2/2013|3/2/2014
14680|4872|71010|3/2/2013|3/2/2014
14681|4876|90207|3/2/2013|3/2/2014
14682|4877|90507|3/2/2013|3/2/2014
14683|4885|70501|3/2/2013|3/2/2014
14684|4888|91001|3/2/2013|3/2/2014
14685|4890|40403|3/2/2013|3/2/2014
14686|4907|100501|3/2/2013|3/2/2014
14687|4912|101001|3/2/2013|3/2/2014
14688|6456|10201|3/1/2013|3/1/2014
14689|6457|10402|3/1/2013|3/1/2014
14690|6459|30208|3/1/2013|3/1/2014
14691|6460|20807|3/1/2013|3/1/2014
14692|6461|60208|3/1/2013|3/1/2014
14693|6467|20304|3/1/2013|3/1/2014
14694|6468|30304|3/1/2013|3/1/2014
14695|6471|30205|3/1/2013|3/1/2014
14696|6473|10103|3/1/2013|3/1/2014
14697|6478|30207|3/1/2013|3/1/2014
14698|6487|90508|3/1/2013|3/1/2014
14699|6496|90608|3/1/2013|3/1/2014
14700|6499|70506|3/1/2013|3/1/2014
14701|6501|20603|3/1/2013|3/1/2014
14702|6517|30503|3/1/2013|3/1/2014
14703|6520|40504|3/1/2013|3/1/2014
14704|6521|81006|3/1/2013|3/1/2014
14705|6522|90306|3/1/2013|3/1/2014
14706|6524|31010|3/1/2013|3/1/2014
14707|6525|10309|3/1/2013|3/1/2014
14708|6532|40802|3/1/2013|3/1/2014
14709|6541|90906|3/1/2013|3/1/2014
14710|6546|100306|3/1/2013|3/1/2014
14711|6548|60604|3/1/2013|3/1/2014
14712|6552|100707|3/1/2013|3/1/2014
14713|6556|60501|3/1/2013|3/1/2014
14714|6557|100506|3/1/2013|3/1/2014
14715|6559|60103|3/1/2013|3/1/2014
14716|6563|60410|3/1/2013|3/1/2014
14717|6565|80105|3/1/2013|3/1/2014
14718|6572|70410|3/1/2013|3/1/2014
14719|6573|50309|3/1/2013|3/1/2014
14720|6577|70211|3/1/2013|3/1/2014
14721|6585|80101|3/1/2013|3/1/2014
14722|3493|70201|4/24/2013|4/24/2014
14723|3552|31002|4/19/2013|4/19/2014
14724|3635|21003|4/22/2013|4/22/2014
14725|3676|70603|4/16/2013|4/16/2014
14726|3686|80603|4/3/2013|4/3/2014
14727|3691|90103|4/30/2013|4/30/2014
14728|3739|40604|4/27/2013|4/27/2014
14729|3947|60806|4/9/2013|4/9/2014
14730|3959|71006|4/19/2013|4/19/2014
14731|3973|90706|4/9/2013|4/9/2014
14732|4097|20708|4/16/2013|4/16/2014
14733|4143|70708|4/18/2013|4/18/2014
14734|4192|30209|4/22/2013|4/22/2014
14735|4207|40809|4/15/2013|4/15/2014
14736|4235|80109|4/13/2013|4/13/2014
14737|4335|90510|4/3/2013|4/3/2014
14738|4372|30611|4/8/2013|4/8/2014
14739|4379|40411|4/14/2013|4/14/2014
14740|4913|40602|4/2/2013|4/2/2014
14741|4914|30404|4/2/2013|4/2/2014
14742|4915|30111|4/2/2013|4/2/2014
14743|4946|50911|4/2/2013|4/2/2014
14744|4953|40810|4/2/2013|4/2/2014
14745|4956|60301|4/2/2013|4/2/2014
14746|4974|50810|4/2/2013|4/2/2014
14747|4993|60910|4/2/2013|4/2/2014
14748|4996|90406|4/2/2013|4/2/2014
14749|5003|10305|4/2/2013|4/2/2014
14750|5004|40507|4/2/2013|4/2/2014
14751|5010|30704|4/2/2013|4/2/2014
14752|5018|70511|4/2/2013|4/2/2014
14753|5026|10709|4/2/2013|4/2/2014
14754|5054|80210|4/2/2013|4/2/2014
14755|3752|51004|4/2/2013|4/2/2014
14756|4063|90107|4/2/2013|4/2/2014
14757|6590|30410|4/1/2013|4/1/2014
14758|6593|80606|4/1/2013|4/1/2014
14759|6594|10704|4/1/2013|4/1/2014
14760|6597|21007|4/1/2013|4/1/2014
14761|6599|20205|4/1/2013|4/1/2014
14762|6601|50107|4/1/2013|4/1/2014
14763|6603|10308|4/1/2013|4/1/2014
14764|6606|100606|4/1/2013|4/1/2014
14765|6610|10803|4/1/2013|4/1/2014
14766|6611|30202|4/1/2013|4/1/2014
14767|6618|30405|4/1/2013|4/1/2014
14768|6619|100706|4/1/2013|4/1/2014
14769|6623|11011|4/1/2013|4/1/2014
14770|6629|60904|4/1/2013|4/1/2014
14771|6630|20101|4/1/2013|4/1/2014
14772|6631|50509|4/1/2013|4/1/2014
14773|6635|50502|4/1/2013|4/1/2014
14774|6636|70404|4/1/2013|4/1/2014
14775|6638|60303|4/1/2013|4/1/2014
14776|6639|60402|4/1/2013|4/1/2014
14777|6640|60802|4/1/2013|4/1/2014
14778|6641|70402|4/1/2013|4/1/2014
14779|6642|60703|4/1/2013|4/1/2014
14780|6643|60801|4/1/2013|4/1/2014
14781|6645|90707|4/1/2013|4/1/2014
14782|6659|70702|4/1/2013|4/1/2014
14783|6661|70902|4/1/2013|4/1/2014
14784|6662|40210|4/1/2013|4/1/2014
14785|6664|90704|4/1/2013|4/1/2014
14786|6667|50310|4/1/2013|4/1/2014
14787|6668|50809|4/1/2013|4/1/2014
14788|6669|70905|4/1/2013|4/1/2014
14789|6673|80502|4/1/2013|4/1/2014
14790|6674|20711|4/1/2013|4/1/2014
14791|6675|80305|4/1/2013|4/1/2014
14792|6678|10708|4/1/2013|4/1/2014
14793|6682|80201|4/1/2013|4/1/2014
14794|6683|60309|4/1/2013|4/1/2014
14795|6687|80602|4/1/2013|4/1/2014
14796|6691|100710|4/1/2013|4/1/2014
14797|6699|90405|4/1/2013|4/1/2014
14798|6704|60409|4/1/2013|4/1/2014
14799|6706|80203|4/1/2013|4/1/2014
14800|6707|80609|4/1/2013|4/1/2014
14801|6709|90505|4/1/2013|4/1/2014
14802|6714|80403|4/1/2013|4/1/2014
14803|6720|40811|4/1/2013|4/1/2014
14804|6728|80301|4/1/2013|4/1/2014
14805|6730|90109|4/1/2013|4/1/2014
14806|3445|20301|5/7/2013|5/7/2014
14807|3452|21001|5/28/2013|5/28/2014
14808|3532|10702|5/28/2013|5/28/2014
14809|3584|70602|5/3/2013|5/3/2014
14810|3666|60503|5/29/2013|5/29/2014
14811|3696|90703|5/21/2013|5/21/2014
14812|3722|20504|5/8/2013|5/8/2014
14813|3732|30804|5/6/2013|5/6/2014
14814|3754|60204|5/26/2013|5/26/2014
14815|3768|70704|5/15/2013|5/15/2014
14816|3775|80404|5/22/2013|5/22/2014
14817|3910|20906|5/23/2013|5/23/2014
14818|3919|30906|5/26/2013|5/26/2014
14819|3955|70606|5/6/2013|5/6/2014
14820|4061|80907|5/26/2013|5/26/2014
14821|4075|100407|5/29/2013|5/29/2014
14822|4163|100108|5/4/2013|5/4/2014
14823|4188|20809|5/15/2013|5/15/2014
14824|4256|100409|5/20/2013|5/20/2014
14825|4285|30810|5/28/2013|5/28/2014
14826|4327|80610|6/1/2013|6/1/2013
14827|4331|81010|5/18/2013|5/18/2014
14828|4346|100910|5/16/2013|5/16/2014
14829|4356|10911|5/13/2013|5/13/2014
14830|4368|30211|6/1/2013|6/1/2013
14831|5064|30602|5/2/2013|5/2/2014
14832|5071|30106|5/2/2013|5/2/2014
14833|5073|30505|5/2/2013|5/2/2014
14834|5080|10310|5/2/2013|5/2/2014
14835|5089|10204|5/2/2013|5/2/2014
14836|5095|20703|5/2/2013|5/2/2014
14837|5097|30607|5/2/2013|5/2/2014
14838|5099|20109|5/2/2013|5/2/2014
14839|5103|20701|5/2/2013|5/2/2014
14840|5108|11008|5/2/2013|5/2/2014
14841|5109|50707|5/2/2013|5/2/2014
14842|5111|30911|5/2/2013|5/2/2014
14843|5112|50303|5/2/2013|5/2/2014
14844|5124|40911|5/2/2013|5/2/2014
14845|5138|40106|5/2/2013|5/2/2014
14846|5143|70303|5/2/2013|5/2/2014
14847|5145|70703|5/2/2013|5/2/2014
14848|5149|50306|5/2/2013|5/2/2014
14849|5151|30808|5/2/2013|5/2/2014
14850|5157|40708|5/2/2013|5/2/2014
14851|5169|50408|5/2/2013|5/2/2014
14852|5184|90203|5/2/2013|5/2/2014
14853|5186|50111|5/2/2013|5/2/2014
14854|5188|100203|5/2/2013|5/2/2014
14855|5194|60308|5/2/2013|5/2/2014
14856|5201|90806|5/2/2013|5/2/2014
14857|5210|50505|5/2/2013|5/2/2014
14858|6736|20402|5/1/2013|5/1/2014
14859|6737|50706|5/1/2013|5/1/2014
14860|6739|10904|5/1/2013|5/1/2014
14861|6742|30511|5/1/2013|5/1/2014
14862|6745|11005|5/1/2013|5/1/2014
14863|6746|30705|5/1/2013|5/1/2014
14864|6757|30310|5/1/2013|5/1/2014
14865|6759|50711|5/1/2013|5/1/2014
14866|6766|60411|5/1/2013|5/1/2014
14867|6770|10609|5/1/2013|5/1/2014
14868|6775|30509|5/1/2013|5/1/2014
14869|6776|40109|5/1/2013|5/1/2014
14870|6779|50902|5/1/2013|5/1/2014
14871|6782|70111|5/1/2013|5/1/2014
14872|6784|60601|5/1/2013|5/1/2014
14873|6787|20104|5/1/2013|5/1/2014
14874|6792|40409|5/1/2013|5/1/2014
14875|6794|90101|5/1/2013|5/1/2014
14876|6803|40104|5/1/2013|5/1/2014
14877|6804|100609|5/1/2013|5/1/2014
14878|6806|80306|5/1/2013|5/1/2014
14879|6810|90401|5/1/2013|5/1/2014
14880|6813|40904|5/1/2013|5/1/2014
14881|6816|10403|5/1/2013|5/1/2014
14882|6819|40710|5/1/2013|5/1/2014
14883|6820|40505|5/1/2013|5/1/2014
14884|6822|70204|5/1/2013|5/1/2014
14885|6825|100709|5/1/2013|5/1/2014
14886|6827|90506|5/1/2013|5/1/2014
14887|6830|101009|5/1/2013|5/1/2014
14888|6832|90601|5/1/2013|5/1/2014
14889|6834|71011|5/1/2013|5/1/2014
14890|6845|10807|5/1/2013|5/1/2014
