UnitPlan|StartDate|EndDate|RentRate
1BR-S&B|4/1/2016|4/30/2016|1932
1BR-L&A|4/1/2016|4/30/2016|2128
1BR-L&B|4/1/2016|4/30/2016|2128
2BR-S|4/1/2016|4/30/2016|2219
STD-S&A|5/1/2016|5/31/2016|1463
STD-S&B|5/1/2016|5/31/2016|1463
STD-S&C|5/1/2016|5/31/2016|1463
STD-M&A|5/1/2016|5/31/2016|1801
STD-M&B|5/1/2016|5/31/2016|1801
STD-L|5/1/2016|5/31/2016|2006
1BR-S&A|5/1/2016|5/31/2016|1859
1BR-S&B|5/1/2016|5/31/2016|1859
1BR-L&A|5/1/2016|5/31/2016|2047
1BR-L&B|5/1/2016|5/31/2016|2047
2BR-S|5/1/2016|5/31/2016|2236
STD-S&A|6/1/2016|6/30/2016|1523
STD-S&B|6/1/2016|6/30/2016|1523
STD-S&C|6/1/2016|6/30/2016|1523
STD-M&A|6/1/2016|6/30/2016|1875
STD-M&B|6/1/2016|6/30/2016|1875
STD-L|6/1/2016|6/30/2016|2090
1BR-S&A|6/1/2016|6/30/2016|1949
1BR-S&B|6/1/2016|6/30/2016|1949
1BR-L&A|6/1/2016|6/30/2016|2146
1BR-L&B|6/1/2016|6/30/2016|2146
2BR-S|6/1/2016|6/30/2016|2004
STD-S&A|7/1/2016|7/31/2016|1534
STD-S&B|7/1/2016|7/31/2016|1534
STD-S&C|7/1/2016|7/31/2016|1534
STD-M&A|7/1/2016|7/31/2016|1888
STD-M&B|7/1/2016|7/31/2016|1888
STD-L|7/1/2016|7/31/2016|2104
1BR-S&A|7/1/2016|7/31/2016|1965
1BR-S&B|7/1/2016|7/31/2016|1965
1BR-L&A|7/1/2016|7/31/2016|2164
1BR-L&B|7/1/2016|7/31/2016|2164
2BR-S|7/1/2016|7/31/2016|2137
STD-S&A|8/1/2016|8/31/2016|1496
STD-S&B|8/1/2016|8/31/2016|1496
STD-S&C|8/1/2016|8/31/2016|1496
STD-M&A|8/1/2016|8/31/2016|1841
STD-M&B|8/1/2016|8/31/2016|1841
STD-L|8/1/2016|8/31/2016|2052
1BR-S&A|8/1/2016|8/31/2016|1986
1BR-S&B|8/1/2016|8/31/2016|1986
1BR-L&A|8/1/2016|8/31/2016|2187
1BR-L&B|8/1/2016|8/31/2016|2187
2BR-S|8/1/2016|8/31/2016|2196
STD-S&A|9/1/2016|9/30/2016|1462
STD-S&B|9/1/2016|9/30/2016|1462
STD-S&C|9/1/2016|9/30/2016|1462
STD-M&A|9/1/2016|9/30/2016|1800
STD-M&B|9/1/2016|9/30/2016|1800
STD-L|9/1/2016|9/30/2016|2005
1BR-S&A|9/1/2016|9/30/2016|2044
1BR-S&B|9/1/2016|9/30/2016|2044
1BR-L&A|9/1/2016|9/30/2016|2251
1BR-L&B|9/1/2016|9/30/2016|2251
2BR-S|9/1/2016|9/30/2016|2360
STD-S&A|10/1/2016|10/31/2016|1454
STD-S&B|10/1/2016|10/31/2016|1454
STD-S&C|10/1/2016|10/31/2016|1454
STD-M&A|10/1/2016|10/31/2016|1790
STD-M&B|10/1/2016|10/31/2016|1790
STD-L|10/1/2016|10/31/2016|1994
1BR-S&A|10/1/2016|10/31/2016|2111
1BR-S&B|10/1/2016|10/31/2016|2111
1BR-L&A|10/1/2016|10/31/2016|2324
1BR-L&B|10/1/2016|10/31/2016|2324
2BR-S|10/1/2016|10/31/2016|2173
STD-S&A|11/1/2016|11/30/2016|1451
STD-S&B|11/1/2016|11/30/2016|1451
STD-S&C|11/1/2016|11/30/2016|1451
STD-M&A|11/1/2016|11/30/2016|1786
STD-M&B|11/1/2016|11/30/2016|1786
STD-L|11/1/2016|11/30/2016|1991
1BR-S&A|11/1/2016|11/30/2016|2092
1BR-S&B|11/1/2016|11/30/2016|2092
1BR-L&A|11/1/2016|11/30/2016|2304
1BR-L&B|11/1/2016|11/30/2016|2304
2BR-S|11/1/2016|11/30/2016|2066
STD-S&A|12/1/2016|12/31/2016|1385
STD-S&B|12/1/2016|12/31/2016|1385
STD-S&C|12/1/2016|12/31/2016|1385
STD-M&A|12/1/2016|12/31/2016|1705
STD-M&B|12/1/2016|12/31/2016|1705
STD-L|12/1/2016|12/31/2016|1900
1BR-S&A|12/1/2016|12/31/2016|2010
1BR-S&B|12/1/2016|12/31/2016|2010
1BR-L&A|12/1/2016|12/31/2016|2213
1BR-L&B|12/1/2016|12/31/2016|2213
2BR-S|12/1/2016|12/31/2016|2126
STD-S&A|1/1/2017|1/31/2017|1434
STD-S&B|1/1/2017|1/31/2017|1434
STD-S&C|1/1/2017|1/31/2017|1434
STD-M&A|1/1/2017|1/31/2017|1765
STD-M&B|1/1/2017|1/31/2017|1765
STD-L|1/1/2017|1/31/2017|1967
1BR-S&A|1/1/2017|1/31/2017|1972
1BR-S&B|1/1/2017|1/31/2017|1972
1BR-L&A|1/1/2017|1/31/2017|2172
1BR-L&B|1/1/2017|1/31/2017|2172
2BR-S|1/1/2017|1/31/2017|2160
STD-S&A|2/1/2017|2/28/2017|1432
STD-S&B|2/1/2017|2/28/2017|1432
STD-S&C|2/1/2017|2/28/2017|1432
STD-M&A|2/1/2017|2/28/2017|1763
STD-M&B|2/1/2017|2/28/2017|1763
STD-L|2/1/2017|2/28/2017|1964
1BR-S&A|2/1/2017|2/28/2017|1970
1BR-S&B|2/1/2017|2/28/2017|1970
1BR-L&A|2/1/2017|2/28/2017|2169
1BR-L&B|2/1/2017|2/28/2017|2169
2BR-S|2/1/2017|2/28/2017|2136
STD-S&A|3/1/2017|3/31/2017|1442
STD-S&B|3/1/2017|3/31/2017|1442
STD-S&C|3/1/2017|3/31/2017|1442
STD-M&A|3/1/2017|3/31/2017|1775
STD-M&B|3/1/2017|3/31/2017|1775
STD-L|3/1/2017|3/31/2017|1978
1BR-S&A|3/1/2017|3/31/2017|2071
1BR-S&B|3/1/2017|3/31/2017|2071
1BR-L&A|3/1/2017|3/31/2017|2281
1BR-L&B|3/1/2017|3/31/2017|2281
2BR-S|3/1/2017|3/31/2017|1987
STD-S&A|4/1/2017|4/30/2017|1465
STD-S&B|4/1/2017|4/30/2017|1465
STD-S&C|4/1/2017|4/30/2017|1465
STD-M&A|4/1/2017|4/30/2017|1804
STD-M&B|4/1/2017|4/30/2017|1804
STD-L|4/1/2017|4/30/2017|2010
1BR-S&A|4/1/2017|4/30/2017|2089
1BR-S&B|4/1/2017|4/30/2017|2089
1BR-L&A|4/1/2017|4/30/2017|2300
1BR-L&B|4/1/2017|4/30/2017|2300
2BR-S|4/1/2017|4/30/2017|1970
STD-S&A|5/1/2017|5/31/2017|1545
STD-S&B|5/1/2017|5/31/2017|1545
STD-S&C|5/1/2017|5/31/2017|1545
STD-M&A|5/1/2017|5/31/2017|1901
STD-M&B|5/1/2017|5/31/2017|1901
STD-L|5/1/2017|5/31/2017|2119
1BR-S&A|5/1/2017|5/31/2017|2124
1BR-S&B|5/1/2017|5/31/2017|2124
1BR-L&A|5/1/2017|5/31/2017|2340
1BR-L&B|5/1/2017|5/31/2017|2340
2BR-S|5/1/2017|5/31/2017|2018
STD-S&A|6/1/2017|6/30/2017|1514
STD-S&B|6/1/2017|6/30/2017|1514
STD-S&C|6/1/2017|6/30/2017|1514
STD-M&A|6/1/2017|6/30/2017|1863
STD-M&B|6/1/2017|6/30/2017|1863
STD-L|6/1/2017|6/30/2017|2076
1BR-S&A|6/1/2017|6/30/2017|2084
1BR-S&B|6/1/2017|6/30/2017|2084
1BR-L&A|6/1/2017|6/30/2017|2295
1BR-L&B|6/1/2017|6/30/2017|2295
2BR-S|6/1/2017|6/30/2017|2161
STD-S&A|7/1/2017|7/31/2017|1532
STD-S&B|7/1/2017|7/31/2017|1532
STD-S&C|7/1/2017|7/31/2017|1532
STD-M&A|7/1/2017|7/31/2017|1886
STD-M&B|7/1/2017|7/31/2017|1886
STD-L|7/1/2017|7/31/2017|2102
1BR-S&A|7/1/2017|7/31/2017|2045
1BR-S&B|7/1/2017|7/31/2017|2045
1BR-L&A|7/1/2017|7/31/2017|2253
1BR-L&B|7/1/2017|7/31/2017|2253
2BR-S|7/1/2017|7/31/2017|2363
STD-S&A|8/1/2017|8/31/2017|1563
STD-S&B|8/1/2017|8/31/2017|1563
STD-S&C|8/1/2017|8/31/2017|1563
STD-M&A|8/1/2017|8/31/2017|1924
STD-M&B|8/1/2017|8/31/2017|1924
STD-L|8/1/2017|8/31/2017|2144
1BR-S&A|8/1/2017|8/31/2017|2029
1BR-S&B|8/1/2017|8/31/2017|2029
1BR-L&A|8/1/2017|8/31/2017|2235
1BR-L&B|8/1/2017|8/31/2017|2235
2BR-S|8/1/2017|8/31/2017|2401
STD-S&A|9/1/2017|9/30/2017|1600
STD-S&B|9/1/2017|9/30/2017|1600
STD-S&C|9/1/2017|9/30/2017|1600
STD-M&A|9/1/2017|9/30/2017|1970
STD-M&B|9/1/2017|9/30/2017|1970
STD-L|9/1/2017|9/30/2017|2195
1BR-S&A|9/1/2017|9/30/2017|1989
1BR-S&B|9/1/2017|9/30/2017|1989
1BR-L&A|9/1/2017|9/30/2017|2191
1BR-L&B|9/1/2017|9/30/2017|2191
2BR-S|9/1/2017|9/30/2017|2256
STD-S&A|10/1/2017|10/31/2017|1567
STD-S&B|10/1/2017|10/31/2017|1567
STD-S&C|10/1/2017|10/31/2017|1567
STD-M&A|10/1/2017|10/31/2017|1929
STD-M&B|10/1/2017|10/31/2017|1929
STD-L|10/1/2017|10/31/2017|2149
1BR-S&A|10/1/2017|10/31/2017|1954
1BR-S&B|10/1/2017|10/31/2017|1954
1BR-L&A|10/1/2017|10/31/2017|2152
1BR-L&B|10/1/2017|10/31/2017|2152
2BR-S|10/1/2017|10/31/2017|2200
STD-S&A|11/1/2017|11/30/2017|1550
STD-S&B|11/1/2017|11/30/2017|1550
STD-S&C|11/1/2017|11/30/2017|1550
STD-M&A|11/1/2017|11/30/2017|1908
STD-M&B|11/1/2017|11/30/2017|1908
STD-L|11/1/2017|11/30/2017|2126
1BR-S&A|11/1/2017|11/30/2017|1953
1BR-S&B|11/1/2017|11/30/2017|1953
1BR-L&A|11/1/2017|11/30/2017|2151
1BR-L&B|11/1/2017|11/30/2017|2151
2BR-S|11/1/2017|11/30/2017|2124
STD-S&A|12/1/2017|12/31/2017|1561
STD-S&B|12/1/2017|12/31/2017|1561
STD-S&C|12/1/2017|12/31/2017|1561
STD-M&A|12/1/2017|12/31/2017|1922
STD-M&B|12/1/2017|12/31/2017|1922
STD-L|12/1/2017|12/31/2017|2142
1BR-S&A|12/1/2017|12/31/2017|1985
1BR-S&B|12/1/2017|12/31/2017|1985
1BR-L&A|12/1/2017|12/31/2017|2186
1BR-L&B|12/1/2017|12/31/2017|2186
2BR-S|12/1/2017|12/31/2017|2120
STD-S&A|1/1/2018|1/31/2018|1562
STD-S&B|1/1/2018|1/31/2018|1562
STD-S&C|1/1/2018|1/31/2018|1562
STD-M&A|1/1/2018|1/31/2018|1923
STD-M&B|1/1/2018|1/31/2018|1923
STD-L|1/1/2018|1/31/2018|2143
1BR-S&A|1/1/2018|1/31/2018|1928
1BR-S&B|1/1/2018|1/31/2018|1928
1BR-L&A|1/1/2018|1/31/2018|2123
1BR-L&B|1/1/2018|1/31/2018|2123
2BR-S|1/1/2018|1/31/2018|2154
STD-S&A|2/1/2018|2/28/2018|1518
STD-S&B|2/1/2018|2/28/2018|1518
STD-S&C|2/1/2018|2/28/2018|1518
STD-M&A|2/1/2018|2/28/2018|1869
STD-M&B|2/1/2018|2/28/2018|1869
STD-L|2/1/2018|2/28/2018|2083
1BR-S&A|2/1/2018|2/28/2018|1928
1BR-S&B|2/1/2018|2/28/2018|1928
1BR-L&A|2/1/2018|2/28/2018|2123
1BR-L&B|2/1/2018|2/28/2018|2123
2BR-S|2/1/2018|2/28/2018|1997
STD-S&A|3/1/2018|3/31/2018|1513
STD-S&B|3/1/2018|3/31/2018|1513
STD-S&C|3/1/2018|3/31/2018|1513
STD-M&A|3/1/2018|3/31/2018|1863
STD-M&B|3/1/2018|3/31/2018|1863
STD-L|3/1/2018|3/31/2018|2076
1BR-S&A|3/1/2018|3/31/2018|1933
1BR-S&B|3/1/2018|3/31/2018|1933
1BR-L&A|3/1/2018|3/31/2018|2129
1BR-L&B|3/1/2018|3/31/2018|2129
2BR-S|3/1/2018|3/31/2018|2177
